#,Name,Disclosure Date,Rank,Check,Description
"227","exploit/multi/fileformat/office_word_macro","2012-01-10","excellent","No","Microsoft Office Word Malicious Macro Execution"
"625","exploit/windows/browser/ie_createobject","2006-04-11","excellent","No","MS06-014 Microsoft Internet Explorer COM CreateObject Code Execution"
"639","exploit/windows/browser/ms08_041_snapshotviewer","2008-07-07","excellent","No","Snapshot Viewer for Microsoft Access ActiveX Control Arbitrary File Download"
"640","exploit/windows/browser/ms10_022_ie_vbscript_winhlp32","2010-02-26","great","No","MS10-022 Microsoft Internet Explorer Winhlp32.exe MsgBox Code Execution"
"641","exploit/windows/browser/ms10_042_helpctr_xss_cmd_exec","2010-06-09","excellent","No","Microsoft Help Center XSS and Command Execution"
"642","exploit/windows/browser/ms10_046_shortcut_icon_dllloader","2010-07-16","excellent","No","Microsoft Windows Shell LNK Code Execution"
"655","exploit/windows/browser/wmi_admintools","2010-12-21","great","No","Microsoft WMI Administration Tools ActiveX Buffer Overflow"
"657","exploit/windows/dcerpc/ms03_026_dcom","2003-07-16","great","No","MS03-026 Microsoft RPC DCOM Interface Overflow"
"658","exploit/windows/dcerpc/ms07_029_msdns_zonename","2007-04-12","great","No","MS07-029 Microsoft DNS RPC Service extractQuotedChar() Overflow (TCP)"
"680","exploit/windows/fileformat/ms10_087_rtf_pfragments_bof","2010-11-09","great","No","MS10-087 Microsoft Word RTF pFragments Stack Buffer Overflow (File Format)"
"681","exploit/windows/fileformat/ms11_006_createsizeddibsection","2010-12-15","great","No","MS11-006 Microsoft Windows CreateSizedDIBSECTION Stack Buffer Overflow"
"682","exploit/windows/fileformat/ms12_005","2012-01-10","excellent","No","MS12-005 Microsoft Office ClickOnce Unsafe Object Package Handling Vulnerability"
"683","exploit/windows/fileformat/ms13_071_theme","2013-09-10","excellent","No","MS13-071 Microsoft Windows Theme File Handling Arbitrary Code Execution"
"684","exploit/windows/fileformat/ms14_060_sandworm","2014-10-14","excellent","No","MS14-060 Microsoft Windows OLE Package Manager Code Execution"
"685","exploit/windows/fileformat/ms14_064_packager_python","2014-11-12","excellent","No","MS14-064 Microsoft Windows OLE Package Manager Code Execution Through Python"
"686","exploit/windows/fileformat/ms14_064_packager_run_as_admin","2014-10-21","excellent","No","MS14-064 Microsoft Windows OLE Package Manager Code Execution"
"687","exploit/windows/fileformat/ms15_020_shortcut_icon_dllloader","2015-03-10","excellent","No","Microsoft Windows Shell LNK Code Execution"
"688","exploit/windows/fileformat/ms15_100_mcl_exe","2015-09-08","excellent","No","MS15-100 Microsoft Windows Media Center MCL Vulnerability"
"691","exploit/windows/fileformat/office_word_hta","2017-04-14","excellent","No","Microsoft Office Word Malicious Hta Execution"
"712","exploit/windows/ftp/ms09_053_ftpd_nlst","2009-08-31","great","No","MS09-053 Microsoft IIS FTP Server NLST Response Overflow"
"828","exploit/windows/iis/iis_webdav_upload_asp","2004-12-31","excellent","No","Microsoft IIS WebDAV Write Access Code Execution"
"829","exploit/windows/iis/ms01_026_dbldecode","2001-05-15","excellent","Yes","MS01-026 Microsoft IIS/PWS CGI Filename Double Decode Command Execution"
"830","exploit/windows/iis/ms03_007_ntdll_webdav","2003-05-30","great","Yes","MS03-007 Microsoft IIS 5.0 WebDAV ntdll.dll Path Overflow"
"831","exploit/windows/iis/msadc","1998-07-17","excellent","Yes","MS99-025 Microsoft IIS MDAC msadcs.dll RDS Arbitrary Remote Command Execution"
"854","exploit/windows/local/comahawk","2019-11-12","excellent","No","Microsoft UPnP Local Privilege Elevation Vulnerability"
"859","exploit/windows/local/mov_ss","2018-05-08","excellent","No","Microsoft Windows POP/MOV SS Local Privilege Elevation Vulnerability"
"905","exploit/windows/misc/ms10_104_sharepoint","2010-12-14","excellent","Yes","MS10-104 Microsoft Office SharePoint Server 2007 Remote Code Execution"
"915","exploit/windows/mssql/ms09_004_sp_replwritetovarbin_sqli","2008-12-09","excellent","Yes","MS09-004 Microsoft SQL Server sp_replwritetovarbin Memory Corruption via SQL Injection"
"916","exploit/windows/mssql/mssql_clr_payload","1999-01-01","excellent","Yes","Microsoft SQL Server Clr Stored Procedure Payload Execution"
"917","exploit/windows/mssql/mssql_linkcrawler","2000-01-01","great","No","Microsoft SQL Server Database Link Crawling Command Execution"
"918","exploit/windows/mssql/mssql_payload","2000-05-30","excellent","Yes","Microsoft SQL Server Payload Execution"
"919","exploit/windows/mssql/mssql_payload_sqli","2000-05-30","excellent","No","Microsoft SQL Server Payload Execution via SQL Injection"
"920","exploit/windows/mysql/mysql_mof","2012-12-01","excellent","Yes","Oracle MySQL for Microsoft Windows MOF Execution"
"921","exploit/windows/mysql/mysql_start_up","2012-12-01","excellent","Yes","Oracle MySQL for Microsoft Windows FILE Privilege Abuse"
"929","exploit/windows/postgres/postgres_payload","2009-04-10","excellent","Yes","PostgreSQL for Microsoft Windows Payload Execution"
"954","exploit/windows/smb/ms08_067_netapi","2008-10-28","great","Yes","MS08-067 Microsoft Server Service Relative Path Stack Corruption"
"955","exploit/windows/smb/ms10_046_shortcut_icon_dllloader","2010-07-16","excellent","No","Microsoft Windows Shell LNK Code Execution"
"956","exploit/windows/smb/ms10_061_spoolss","2010-09-14","excellent","No","MS10-061 Microsoft Print Spooler Service Impersonation Vulnerability"
"957","exploit/windows/smb/ms15_020_shortcut_icon_dllloader","2015-03-10","excellent","No","Microsoft Windows Shell LNK Code Execution"
"960","exploit/windows/smb/smb_relay","2001-03-31","excellent","No","MS08-068 Microsoft Windows SMB Relay Code Execution"
"969","exploit/windows/wins/ms04_045_wins","2004-12-14","great","Yes","MS04-045 Microsoft WINS Service Memory Overwrite"
