#,Name,Disclosure Date,Rank,Check,Description
"21","exploit/linux/http/apache_continuum_cmd_exec","2016-04-06","excellent","Yes","Apache Continuum Arbitrary Command Execution"
"22","exploit/linux/http/apache_couchdb_cmd_exec","2016-04-06","excellent","Yes","Apache CouchDB Arbitrary Command Execution"
"117","exploit/linux/http/spark_unauth_rce","2017-12-12","excellent","Yes","Apache Spark Unauthenticated Command Execution"
"258","exploit/multi/http/apache_activemq_upload_jsp","2016-06-01","excellent","No","ActiveMQ web shell upload"
"259","exploit/multi/http/apache_mod_cgi_bash_env_exec","2014-09-24","excellent","Yes","Apache mod_cgi Bash Environment Variable Code Injection (Shellshock)"
"260","exploit/multi/http/apache_roller_ognl_injection","2013-10-31","excellent","Yes","Apache Roller OGNL Injection"
"386","exploit/multi/http/struts2_code_exec_showcase","2017-07-07","excellent","Yes","Apache Struts 2 Struts 1 Plugin Showcase OGNL Code Execution"
"387","exploit/multi/http/struts2_content_type_ognl","2017-03-07","excellent","Yes","Apache Struts Jakarta Multipart Parser OGNL Injection"
"388","exploit/multi/http/struts2_namespace_ognl","2018-08-22","excellent","Yes","Apache Struts 2 Namespace Redirect OGNL Injection"
"389","exploit/multi/http/struts2_rest_xstream","2017-09-05","excellent","Yes","Apache Struts 2 REST Plugin XStream RCE"
"390","exploit/multi/http/struts_code_exec_exception_delegator","2012-01-06","excellent","No","Apache Struts Remote Command Execution"
"391","exploit/multi/http/struts_code_exec_parameters","2011-10-01","excellent","Yes","Apache Struts ParametersInterceptor Remote Code Execution"
"392","exploit/multi/http/struts_default_action_mapper","2013-07-02","excellent","Yes","Apache Struts 2 DefaultActionMapper Prefixes OGNL Code Execution"
"393","exploit/multi/http/struts_dev_mode","2012-01-06","excellent","Yes","Apache Struts 2 Developer Mode OGNL Execution"
"394","exploit/multi/http/struts_dmi_exec","2016-04-27","excellent","Yes","Apache Struts Dynamic Method Invocation Remote Code Execution"
"395","exploit/multi/http/struts_dmi_rest_exec","2016-06-01","excellent","Yes","Apache Struts REST Plugin With Dynamic Method Invocation Remote Code Execution"
"396","exploit/multi/http/struts_include_params","2013-05-24","great","Yes","Apache Struts includeParams Remote Code Execution"
"404","exploit/multi/http/tomcat_mgr_deploy","2009-11-09","excellent","Yes","Apache Tomcat Manager Application Deployer Authenticated Code Execution"
"405","exploit/multi/http/tomcat_mgr_upload","2009-11-09","excellent","Yes","Apache Tomcat Manager Authenticated Upload Code Execution"
"451","exploit/multi/misc/openoffice_document_macro","2017-02-08","excellent","No","Apache OpenOffice Text Document Malicious Macro Execution"
"684","exploit/windows/http/apache_mod_rewrite_ldap","2006-07-28","great","Yes","Apache Module mod_rewrite LDAP Protocol Buffer Overflow"
"685","exploit/windows/http/apache_modjk_overflow","2007-03-02","great","Yes","Apache mod_jk 1.2.20 Buffer Overflow"
"686","exploit/windows/http/apache_tika_jp2_jscript","2018-04-25","excellent","Yes","Apache Tika Header Command Injection"
"690","exploit/windows/http/bea_weblogic_post_bof","2008-07-17","great","Yes","Oracle Weblogic Apache Connector POST Request Buffer Overflow"
"776","exploit/windows/http/tomcat_cgi_cmdlineargs","2019-04-10","excellent","Yes","Apache Tomcat CGIServlet enableCmdLineArguments Vulnerability"
